,GOTSeason,GOTCharacter,OverallCount,NeutralCount,PositiveCount,NegativeCount
671,Season2,drogo,9.63572094572,52,44,26
672,Season2,grey,-8.52452922078,102,58,64
673,Season2,britt,-0.8,4,0,2
674,Season4,silver,0.876893939394,24,16,18
675,Season4,gared,-0.8,2,0,2
676,Season5,luwin,0.7,0,1,0
677,Season2,,6721.92143289,61965,32798,19375
678,Season2,wex,0.1,5,2,0
679,Season2,baratheon,1.0,14,4,5
680,Season4,mace,1.0,9,2,0
681,Season4,kraznys,0.0,1,0,0
682,Season5,lomas,0.5,1,1,0
683,Season5,emmon,0.4,3,1,0
684,Season6,talia,-6.08314393939,177,12,30
685,Season4,erik,-1.66363636364,26,6,8
686,Season4,arson,4.03333333333,7,11,3
687,Season5,lysa,0.46875,4,2,2
688,Season1,walter,1.75757575758,2,4,0
689,Season3,joanna,0.748484848485,8,4,2
690,Season3,bones,11.4575976107,43,43,25
691,Season4,soldier,1.52471590909,15,8,7
692,Season5,marston,0.6,1,1,0
693,Season5,jory,-0.25,1,1,1
694,Season5,nissa,-0.4,1,0,1
695,Season3,morghul,8.57388888889,101,22,9
696,Season3,brynden,0.5,3,1,0
697,Season6,moro,-1.11681818182,43,21,14
698,Season3,pypar,0.0,1,0,0
699,Season1,steve,9.80858585859,46,26,6
700,Season2,rhaegar,1.5,0,2,0
701,Season1,cooper,4.28571428571,6,12,4
702,Season1,mordane,1.0,0,2,0
703,Season3,irri,-3.25909451659,27,25,26
704,Season4,davos,-0.7,11,2,4
705,Season5,loras,3.30485119048,27,13,7
706,Season1,areo,0.75,8,2,0
707,Season2,axel,0.0,2,0,0
708,Season3,janos,0.0,3,0,0
709,Season3,lowell,0.0,1,0,0
710,Season6,robert,2.45857683983,64,23,17
711,Season6,ashara,0.0,2,0,0
712,Season4,spice,1.36436868687,10,7,1
713,Season5,merchant,169.619458874,618,384,72
714,Season1,robar,-0.8,10,0,2
715,Season1,azor,3.0,2,8,0
716,Season2,jon,46.5615632516,241,144,57
717,Season2,beric,2.375,2,4,0
718,Season3,jafer,0.0,2,0,0
719,Season6,smiling,-2.51715367965,17,11,47
720,Season4,ch,4003.19356249,24465,18112,8856
721,Season1,mero,13.2525252525,92,32,8
722,Season1,silk,2.72,6,8,2
723,Season2,frey,-159.978342472,1577,977,1299
724,Season2,wyl,0.0,6,0,0
725,Season3,great,1264.50889213,127,2243,76
726,Season3,maron,-0.4,3,0,1
727,Season3,amaya,1.68333333333,19,4,0
728,Season3,clegane,0.436363636364,10,3,4
729,Season4,stiv,4.14422077922,84,11,7
730,Season4,shireen,0.825,14,3,1
731,Season4,petyr,10.6446969697,68,36,14
732,Season5,borba,0.0,1,0,0
733,Season2,miller,1.10476190476,8,6,2
734,Season2,akho,-0.933333333333,0,0,4
735,Season3,brandon,-2.39583333333,30,14,17
736,Season6,elyo,1.0,1,1,0
737,Season6,dornish,0.6,4,2,1
738,Season6,walda,2.86498917749,30,9,2
739,Season4,elissa,0.0554112554113,34,10,8
740,Season2,will,217.178401691,1064,1081,651
741,Season6,theon,-10.0960371573,502,180,230
742,Season5,ros,280.668908369,3502,1570,894
743,Season6,walder,0.490856481481,25,9,10
744,Season4,shae,6.025,64,37,22
745,Season5,robb,5.37347222222,103,28,43
746,Season5,alys,10.9444444444,50,38,14
747,Season1,mag,236.135339397,596,587,148
748,Season1,rogar,0.0,2,0,0
749,Season3,red,224.136236657,2094,1791,1403
750,Season3,edgar,0.15,9,1,1
751,Season6,catelyn,1.20833333333,19,5,8
752,Season6,aggar,1.0,3,1,0
753,Season3,locke,-7068.22443001,172,2261,18958
754,Season6,lastdragon,0.0,1,0,0
755,Season5,joffrey,23.0317739899,286,126,72
756,Season5,kevan,1.0,2,1,0
757,Season2,renly,6.15833333333,32,32,22
758,Season2,loren,3.86111111111,34,10,6
759,Season2,ygritte,15.0102272727,10,30,0
760,Season6,master,21.1898511905,127,72,17
761,Season6,arthur,1.19583333333,2,4,1
762,Season4,tommen,0.899810606061,29,12,13
763,Season5,otto,-0.0826515151515,74,19,23
764,Season2,white,15.7058982684,251,168,110
765,Season3,olly,13.0863011063,299,146,115
766,Season4,orys,0.974358974359,2,3,2
767,Season5,ormund,2.42357503608,62,28,22
