,GOTSeason,GOTCharacter,OverallCount,NeutralCount,PositiveCount,NegativeCount
1144,Season5,janos,0.358333333333,1,1,2
1145,Season5,jasper,0.35,0,1,0
1146,Season2,shiera,0.0,10,0,0
1147,Season3,areo,0.7,4,4,1
1148,Season6,spice,1.05833333333,9,6,2
1149,Season6,gryff,0.0,1,0,0
1150,Season1,leaf,-0.069696969697,0,4,4
1151,Season1,hugh,2.52166666667,2,6,0
1152,Season1,barristan,0.0,4,0,0
1153,Season3,azor,0.7125,13,4,3
1154,Season3,robar,1.0,13,2,0
1155,Season3,mern,0.1,5,1,1
1156,Season6,ch,1969.95536052,24400,12752,7822
1157,Season4,jon,15.6882287157,593,246,240
1158,Season4,tristan,0.0,3,0,0
1159,Season5,great,826.402118025,89,1478,66
1160,Season5,amaya,0.6875,15,3,3
1161,Season5,maron,0.0,7,0,0
1162,Season5,clegane,0.644967532468,41,6,4
1163,Season1,summer,47.357281746,124,154,70
1164,Season3,mero,4.95795454545,149,42,25
1165,Season3,silk,7.24145622896,20,34,6
1166,Season3,meryn,0.0,1,0,0
1167,Season3,rodrik,0.5,1,1,0
1168,Season6,stiv,3.82691724942,82,21,15
1169,Season6,petyr,0.190340909091,33,9,6
1170,Season6,shireen,0.2,3,1,0
1171,Season4,frey,31.7670681633,2672,1390,1624
1172,Season4,wyl,0.225,2,1,1
1173,Season4,harpy,1.0,0,1,0
1174,Season2,roose,0.0,2,0,0
1175,Season5,brandon,0.0666666666667,6,2,3
1176,Season1,billy,0.0,8,0,0
1177,Season1,barra,-2.98055555556,20,14,22
1178,Season6,elissa,4.41060155123,103,27,12
1179,Season4,miller,2.73383838384,14,6,3
1180,Season4,akho,-0.3,0,0,1
1181,Season2,jojen,0.8,6,2,0
1182,Season4,will,408.013106084,2824,1842,980
1183,Season1,doran,0.7,12,2,0
1184,Season2,lann,22.1706529582,161,133,80
1185,Season3,karsi,0.5,2,1,0
1186,Season6,shae,-0.125,11,5,4
1187,Season5,red,87.12622854,2247,2417,2239
1188,Season5,edgar,0.0,1,0,0
1189,Season1,wendel,2.2,0,4,0
1190,Season2,eddard,-1.61111111111,5,14,14
1191,Season2,wun,-0.25,2,0,2
1192,Season3,mag,199.64077085,909,703,269
1193,Season3,rogar,0.5,0,1,0
1194,Season3,myrcella,-0.375,0,0,2
1195,Season5,locke,2.58979076479,44,28,17
1196,Season5,mossador,0.0,1,0,0
1197,Season1,silver,3.0,22,8,0
1198,Season2,robin,0.0,4,0,0
1199,Season2,dagmer,2.365,0,4,0
1200,Season6,tommen,1.77666666667,47,14,8
1201,Season4,ygritte,4.07045454545,51,18,3
1202,Season4,loren,-0.2,9,3,2
1203,Season4,renly,0.3875,2,2,2
1204,Season5,olly,16.9053841991,293,210,182
1205,Season1,mace,1.0,8,2,0
1206,Season2,luwin,0.0,2,0,0
1207,Season6,orys,-6.91201599327,9,9,36
1208,Season4,white,34.1955248918,339,223,116
1209,Season5,edric,-0.266666666667,14,0,2
1210,Season5,oldman,0.668181818182,7,3,0
1211,Season1,erik,1.84615384615,28,4,6
1212,Season1,arson,1.14696969697,10,6,0
1213,Season2,rickard,0.4,0,2,0
1214,Season3,talia,8.45032467532,85,22,13
1215,Season6,alton,0.39375,16,4,3
1216,Season4,tom,94.9189384921,893,557,341
1217,Season4,karl,-0.525,16,2,4
1218,Season1,soldier,14.1166666667,12,30,16
1219,Season2,lysa,1.6,4,2,0
1220,Season6,violet,-26.9125,13,2,170
1221,Season4,nan,37.6366853054,1156,285,206
1222,Season4,lancel,0.4,1,2,0
1223,Season4,stafford,0.0,1,0,0
