,GOTSeason,GOTCharacter,COUNTCharacters
273,Season3,ros,5904
274,Season6,septon,3
275,Season4,walder,4
276,Season5,nights,937
277,Season1,red,2275
278,Season1,edgar,14
279,Season3,robb,497
280,Season3,alys,115
281,Season6,hodor,683
282,Season6,rickon,84
283,Season4,catelyn,34
284,Season4,aggar,7
285,Season5,harlen,3
286,Season1,locke,233
287,Season3,xaro,1
288,Season4,lastdragon,2
289,Season3,joffrey,798
290,Season3,kevan,1
291,Season6,rast,137
292,Season6,stannis,81
293,Season4,master,231
294,Season4,arthur,7
295,Season5,baelish,38
296,Season1,olly,332
297,Season2,orys,2
298,Season3,otto,132
299,Season6,rorge,3
300,Season5,thenn,13
301,Season5,crane,7
302,Season1,edric,4
303,Season1,oldman,2
304,Season2,alton,13
305,Season3,ormund,93
306,Season6,harren,6
307,Season4,bolton,15
308,Season4,lommy,23
309,Season5,talisa,4
310,Season2,violet,12
311,Season3,oswell,2
312,Season6,lyman,3
313,Season4,kyra,3
314,Season5,copper,21
315,Season2,wildling,133
316,Season3,duncan,10
317,Season6,royce,1
318,Season5,tickler,4
319,Season5,horned,2
320,Season2,daena,8
321,Season6,water,230
322,Season6,ramsay,310
323,Season6,beast,106
324,Season6,nymeria,28
325,Season4,savo,19
326,Season4,waymar,1
327,Season2,child,325
328,Season2,mance,140
329,Season3,daenerys,697
330,Season3,loboda,1
331,Season3,tansy,2
332,Season3,oberyn,65
333,Season6,aerys,241
334,Season6,matthos,1
335,Season6,elaena,1
336,Season4,ray,802
337,Season5,three,507
338,Season5,othor,1
339,Season1,pycelle,2
340,Season1,biter,2
341,Season6,drogo,442
342,Season6,grey,400
343,Season6,britt,28
344,Season4,arryk,1
345,Season5,karstark,1
346,Season2,morgan,8
347,Season6,baratheon,166
348,Season6,wex,7
349,Season4,balon,8
350,Season1,lady,285
351,Season1,high,442
352,Season1,smitty,2
353,Season1,damien,2
354,Season3,serena,5
355,Season3,aegon,2
356,Season4,mira,260
357,Season5,walter,3
358,Season4,rhaenys,1
359,Season4,symon,1
360,Season1,ethan,40
361,Season2,simpson,26
362,Season2,elia,72
363,Season6,artys,5
364,Season6,aemma,1
365,Season4,viserys,13
366,Season4,damon,3
367,Season4,lyanna,8
368,Season4,shaggydog,3
369,Season5,steve,56
370,Season5,cotter,2
371,Season2,aron,167
372,Season6,rhaegar,42
373,Season4,aemon,4
374,Season4,craster,11
375,Season5,cooper,16
376,Season5,mordane,1
377,Season1,hodor,92
378,Season1,rickon,12
379,Season2,baelor,10
380,Season2,tortured,8
381,Season3,pyat,1
382,Season5,areo,11
383,Season2,aenys,7
384,Season6,axel,3
385,Season4,shiera,1
386,Season5,robar,15
387,Season5,mern,10
388,Season5,azor,23
389,Season1,rast,76
390,Season1,stannis,10
391,Season2,monica,8
392,Season3,leaf,63
393,Season3,barristan,21
394,Season3,hugh,25
395,Season6,jon,5953
396,Season6,beric,19
397,Season6,tristan,2
398,Season4,harys,3
399,Season5,mero,196
400,Season5,silk,12
401,Season5,meryn,15
402,Season5,rodrik,1
403,Season3,summer,646
404,Season6,frey,1189
405,Season6,harpy,22
406,Season6,wyl,9
407,Season4,roose,6
408,Season2,osha,34
409,Season3,barra,82
410,Season3,billy,45
411,Season3,donnell,4
412,Season6,miller,16
413,Season6,akho,10
414,Season6,bowen,2
415,Season6,will,5737
416,Season4,jojen,12
417,Season5,karsi,13
418,Season1,royce,2
419,Season2,jack,139
420,Season3,doran,8
421,Season4,lann,2034
422,Season5,mag,2078
423,Season5,myrcella,34
424,Season5,rogar,3
425,Season1,beast,156
426,Season1,water,116
427,Season2,gregor,6
428,Season3,wendel,8
429,Season4,eddard,32
430,Season4,wun,11
431,Season4,durran,1
432,Season1,aerys,60
433,Season2,ralf,4
434,Season3,axell,5
435,Season3,despondent,1
436,Season1,drogo,353
437,Season1,grey,62
438,Season1,britt,12
439,Season3,silver,69
440,Season3,gared,2
441,Season6,ygritte,159
442,Season6,renly,9
443,Season6,loren,60
444,Season4,robin,27
445,Season1,baratheon,18
446,Season1,wex,4
447,Season3,mace,26
448,Season3,kraznys,2
449,Season6,white,975
450,Season3,kegs,3
451,Season5,talia,225
452,Season3,erik,72
453,Season3,arson,55
454,Season6,tom,1915
455,Season6,karl,22
456,Season4,lomas,1
457,Season5,osric,1
458,Season2,bones,440
459,Season3,soldier,108
460,Season6,nan,1552
461,Season6,lancel,12
462,Season6,stafford,3
463,Season6,vhagar,3
464,Season4,lysa,130
465,Season4,martyn,1
466,Season5,moro,73
467,Season1,aemma,2
468,Season2,morghul,148
469,Season3,tytos,1
470,Season6,lem,1771
471,Season4,jory,5
472,Season4,nissa,4
473,Season1,rhaegar,2
474,Season2,irri,54
475,Season3,davos,23
476,Season6,simon,29
477,Season5,robert,99
478,Season1,axel,8
479,Season2,janos,2
480,Season2,jasper,2
481,Season3,spice,23
482,Season6,sam,1176
483,Season6,tywin,47
484,Season6,orson,6
485,Season4,loras,15
486,Season5,smiling,14
487,Season1,jon,412
488,Season3,ch,85640
489,Season6,balerion,2
490,Season4,merchant,5
491,Season1,frey,1845
492,Season1,wyl,10
493,Season2,great,1374
494,Season2,amaya,6
495,Season2,clegane,6
496,Season3,stiv,90
497,Season3,petyr,17
498,Season3,shireen,10
499,Season6,shepherd,2
500,Season3,bruni,1
501,Season4,polliver,3
502,Season6,waif,144
503,Season5,dornish,16
504,Season5,walda,27
505,Season5,elyo,1
506,Season1,miller,6
507,Season1,bowen,2
508,Season2,brandon,2
509,Season3,elissa,122
510,Season4,borba,1
511,Season5,theon,2008
512,Season1,will,3359
513,Season5,walder,12
514,Season3,shae,43
515,Season6,styr,7
516,Season4,ros,6445
517,Season5,catelyn,18
518,Season5,aggar,5
519,Season2,red,2079
520,Season2,edgar,4
521,Season6,nights,501
522,Season4,robb,128
523,Season4,alys,109
524,Season5,dongo,7
525,Season2,locke,158
526,Season5,master,218
527,Season5,arthur,8
528,Season1,loren,24
529,Season1,ygritte,4
530,Season1,renly,26
531,Season3,tommen,3
532,Season3,riddell,1
533,Season6,gerhard,1
534,Season4,joffrey,1331
535,Season1,white,347
536,Season2,olly,280
537,Season3,orys,6
538,Season6,baelish,18
539,Season4,otto,116
540,Season5,bolton,183
541,Season1,tom,1338
542,Season1,karl,36
543,Season2,edric,2
544,Season2,oldman,4
545,Season3,alton,14
546,Season6,thenn,1
547,Season6,crane,3
548,Season4,ormund,33
549,Season5,kyra,1
550,Season1,nan,1282
551,Season1,stafford,2
552,Season3,violet,20
553,Season3,stableboy,1
554,Season6,amory,5
555,Season6,talisa,2
556,Season1,lem,815
557,Season3,wildling,376
558,Season6,copper,13
559,Season4,duncan,1
560,Season4,oznak,1
561,Season5,savo,37
562,Season2,jeor,2
563,Season3,daena,30
564,Season3,selyse,8
565,Season6,tickler,2
566,Season4,joyeuse,1
567,Season5,ray,4277
568,Season1,simon,40
569,Season3,child,634
570,Season3,mance,280
571,Season4,oberyn,358
572,Season4,daenerys,710
573,Season5,arryk,4
574,Season1,sam,758
575,Season1,tywin,10
576,Season1,orson,2
577,Season2,pycelle,2
578,Season2,biter,8
579,Season6,three,417
580,Season5,balon,2
581,Season2,ludd,2
582,Season3,morgan,53
583,Season5,mira,373
584,Season1,shepherd,6
585,Season1,waif,4
586,Season2,lady,415
587,Season2,high,334
588,Season2,damien,6
589,Season4,aegon,2
590,Season4,serena,2
591,Season5,symon,1
592,Season2,yoren,4
593,Season6,walter,6
594,Season5,damon,8
595,Season5,lyanna,13
596,Season5,viserys,1
597,Season2,margaery,12
598,Season2,ethan,22
599,Season3,elia,147
600,Season3,simpson,35
601,Season5,aemon,13
602,Season3,aron,467
603,Season6,steve,77
604,Season6,cotter,3
605,Season1,nights,486
606,Season2,hodor,34
607,Season2,rickon,4
608,Season3,baelor,2
609,Season3,tortured,104
610,Season6,cooper,12
611,Season4,aegor,2
612,Season5,shiera,12
613,Season3,aenys,10
614,Season6,areo,11
615,Season2,rast,118
616,Season2,stannis,53
617,Season3,monica,14
618,Season6,robar,15
619,Season6,mern,9
620,Season6,azor,22
621,Season4,hugh,17
622,Season4,leaf,14
623,Season4,barristan,5
624,Season5,roose,10
625,Season6,meryn,5
626,Season6,mero,177
627,Season6,silk,11
628,Season6,rodrik,2
629,Season4,summer,367
630,Season6,connington,2
631,Season1,thenn,4
632,Season1,crane,4
633,Season2,harren,110
634,Season2,garth,2
635,Season2,norren,2
636,Season3,osha,52
637,Season3,erryk,1
638,Season3,dontos,1
639,Season4,barra,50
640,Season4,billy,14
641,Season4,donnell,2
642,Season5,jojen,5
643,Season5,trystane,7
644,Season2,lyman,2
645,Season5,lann,1116
646,Season1,copper,4
647,Season3,jack,225
648,Season6,karsi,11
649,Season4,doran,14
650,Season5,eddard,39
651,Season5,wun,31
652,Season1,horned,2
653,Season2,beast,62
654,Season2,water,616
655,Season2,ramsay,3
656,Season2,nymeria,4
657,Season3,gregor,11
658,Season6,mag,2393
659,Season6,myrcella,12
660,Season4,wendel,1
661,Season2,aerys,94
662,Season2,stygg,2
663,Season3,ralf,3
664,Season4,axell,2
665,Season5,robin,69
666,Season1,three,298
667,Season1,othor,2
668,Season2,drogo,122
669,Season2,grey,224
670,Season2,britt,6
671,Season4,silver,58
672,Season4,gared,4
673,Season5,luwin,1
674,Season2,wex,7
675,Season2,baratheon,23
676,Season4,mace,11
677,Season4,kraznys,1
678,Season5,lomas,2
679,Season5,emmon,4
680,Season6,talia,219
681,Season4,erik,40
682,Season4,arson,21
683,Season5,lysa,8
684,Season1,walter,6
685,Season3,joanna,14
686,Season3,bones,111
687,Season4,soldier,30
688,Season5,marston,2
689,Season5,jory,3
690,Season5,nissa,2
691,Season3,morghul,132
692,Season3,brynden,4
693,Season6,moro,78
694,Season3,pypar,1
695,Season1,steve,78
696,Season2,rhaegar,2
697,Season1,cooper,22
698,Season1,mordane,2
699,Season3,irri,78
700,Season4,davos,17
701,Season5,loras,47
702,Season1,areo,10
703,Season2,axel,2
704,Season3,janos,3
705,Season3,lowell,1
706,Season6,robert,104
707,Season6,ashara,2
708,Season4,spice,18
709,Season5,merchant,1074
710,Season1,robar,12
711,Season1,azor,10
712,Season2,jon,442
713,Season2,beric,6
714,Season3,jafer,2
715,Season6,smiling,75
716,Season4,ch,51433
717,Season1,mero,132
718,Season1,silk,16
719,Season2,frey,3853
720,Season2,wyl,6
721,Season3,great,2446
722,Season3,maron,4
723,Season3,amaya,23
724,Season3,clegane,17
725,Season4,stiv,102
726,Season4,shireen,18
727,Season4,petyr,118
728,Season5,borba,1
729,Season2,miller,16
730,Season2,akho,4
731,Season3,brandon,61
732,Season6,elyo,2
733,Season6,dornish,7
734,Season6,walda,41
735,Season4,elissa,52
736,Season2,will,2796
737,Season6,theon,912
738,Season5,ros,5966
739,Season6,walder,44
740,Season4,shae,123
741,Season5,robb,174
742,Season5,alys,102
743,Season1,mag,1331
744,Season1,rogar,2
745,Season3,red,5288
746,Season3,edgar,11
747,Season6,catelyn,32
748,Season6,aggar,4
749,Season3,locke,21391
750,Season6,lastdragon,1
751,Season5,joffrey,484
752,Season5,kevan,3
753,Season2,renly,86
754,Season2,loren,50
755,Season2,ygritte,40
756,Season6,master,216
757,Season6,arthur,7
758,Season4,tommen,54
759,Season5,otto,116
760,Season2,white,529
761,Season3,olly,560
762,Season4,orys,7
763,Season5,ormund,112
764,Season1,talia,62
765,Season2,tom,961
766,Season2,karl,16
767,Season3,edric,32
768,Season3,oldman,6
769,Season6,lommy,3
770,Season6,bolton,118
771,Season4,alton,9
772,Season5,oswell,2
773,Season2,nan,774
774,Season2,stafford,10
775,Season2,lancel,2
776,Season6,kyra,2
777,Season4,violet,7
778,Season5,duncan,4
779,Season1,moro,68
780,Season2,lem,969
781,Season6,alliser,2
782,Season4,wildling,109
783,Season5,joyeuse,1
784,Season3,jeor,5
785,Season6,savo,31
786,Season6,domeric,1
787,Season4,daena,21
788,Season4,selyse,2
789,Season6,harker,1
790,Season5,daenerys,658
791,Season5,oberyn,68
792,Season2,simon,25
793,Season6,ray,7057
794,Season4,child,473
795,Season4,mance,458
796,Season6,zalla,1
797,Season1,robert,56
798,Season2,sam,658
799,Season2,tywin,28
800,Season2,orson,2
801,Season3,biter,16
802,Season3,pycelle,2
803,Season6,arryk,1
804,Season1,smiling,8
805,Season3,ludd,1
806,Season6,balon,8
807,Season4,morgan,29
808,Season6,rhaego,1
809,Season5,serena,5
810,Season5,aegon,6
811,Season2,shepherd,2
812,Season3,lady,930
813,Season3,high,615
814,Season3,damien,8
815,Season6,mira,296
816,Season1,walda,6
817,Season1,elyo,6
818,Season3,yoren,2
819,Season1,theon,653
820,Season3,margaery,84
821,Season3,ethan,32
822,Season6,shaggydog,2
823,Season6,lyanna,164
824,Season6,damon,7
825,Season6,viserys,13
826,Season4,simpson,38
827,Season4,elia,62
828,Season4,qhorin,1
829,Season1,walder,4
830,Season2,styr,4
831,Season6,craster,3
832,Season6,aemon,5
833,Season4,aron,290
834,Season5,pyat,2
835,Season5,aegor,1
836,Season1,aggar,24
837,Season1,catelyn,20
838,Season2,nights,513
839,Season3,hodor,415
840,Season3,rickon,12
841,Season4,tortured,11
842,Season4,baelor,12
843,Season1,dongo,20
844,Season6,shiera,6
845,Season4,aenys,6
846,Season5,barristan,46
