,GOTSeason,GOTCharacter,COUNTCharacters
1183,Season1,wendel,4
1184,Season2,eddard,33
1185,Season2,wun,4
1186,Season3,mag,1881
1187,Season3,rogar,1
1188,Season3,myrcella,2
1189,Season5,locke,89
1190,Season5,mossador,1
1191,Season1,silver,30
1192,Season2,robin,4
1193,Season2,dagmer,4
1194,Season6,tommen,69
1195,Season4,ygritte,72
1196,Season4,loren,14
1197,Season4,renly,6
1198,Season5,olly,685
1199,Season1,mace,10
1200,Season2,luwin,2
1201,Season6,orys,54
1202,Season4,white,678
1203,Season5,edric,16
1204,Season5,oldman,10
1205,Season1,erik,38
1206,Season1,arson,16
1207,Season2,rickard,2
1208,Season3,talia,120
1209,Season6,alton,23
1210,Season4,tom,1791
1211,Season4,karl,22
1212,Season1,soldier,58
1213,Season2,lysa,6
1214,Season6,violet,185
1215,Season4,nan,1647
1216,Season4,lancel,3
1217,Season4,stafford,1
