,GOTSeason,GOTCharacter,DeadCount
281,Season2,jon,14
282,Season2,beric,2
283,Season4,ch,1533
284,Season6,smiling,41
285,Season1,mero,2
286,Season2,frey,256
287,Season3,great,64
288,Season4,stiv,5
289,Season4,petyr,1
290,Season3,brandon,1
291,Season2,will,148
292,Season6,theon,40
293,Season5,ros,167
294,Season4,shae,6
295,Season6,walder,2
296,Season5,alys,4
297,Season5,robb,9
298,Season1,mag,30
299,Season3,red,197
300,Season6,catelyn,2
301,Season3,locke,117
302,Season5,joffrey,29
303,Season2,renly,6
304,Season2,loren,2
305,Season6,master,2
306,Season4,tommen,6
307,Season2,white,40
308,Season3,olly,11
309,Season4,orys,1
310,Season5,ormund,1
311,Season2,tom,18
312,Season3,edric,1
313,Season6,bolton,11
314,Season4,alton,1
315,Season5,oswell,1
316,Season2,nan,24
317,Season5,duncan,2
318,Season1,moro,2
319,Season2,lem,44
320,Season6,savo,1
321,Season5,oberyn,1
322,Season5,daenerys,12
323,Season2,simon,2
324,Season6,ray,34
325,Season4,child,75
326,Season4,mance,8
327,Season1,robert,2
328,Season2,sam,20
329,Season2,tywin,4
330,Season3,biter,4
331,Season3,high,15
332,Season3,lady,26
333,Season6,mira,7
334,Season1,theon,56
335,Season6,viserys,2
336,Season3,margaery,1
337,Season4,elia,1
338,Season6,lyanna,2
339,Season4,aron,2
340,Season1,aggar,20
341,Season2,nights,12
342,Season4,tortured,1
343,Season4,aenys,2
344,Season5,barristan,8
345,Season1,master,2
346,Season1,arthur,2
347,Season3,stannis,1
348,Season3,rast,3
349,Season5,summer,9
350,Season5,barra,32
351,Season6,jojen,1
352,Season6,lann,33
353,Season4,jack,9
354,Season2,tickler,2
355,Season3,water,12
356,Season3,beast,8
357,Season6,wun,8
358,Season6,eddard,1
359,Season3,ramsay,1
360,Season1,ray,24
361,Season3,aerys,10
362,Season5,silver,1
363,Season2,three,8
364,Season3,grey,7
365,Season3,drogo,1
366,Season3,britt,1
367,Season6,robin,6
368,Season3,baratheon,2
369,Season5,erik,2
370,Season5,arson,3
371,Season5,soldier,21
372,Season6,lysa,1
373,Season4,bones,5
374,Season4,morghul,22
375,Season1,aemon,2
376,Season2,steve,10
377,Season3,rhaegar,1
378,Season4,irri,3
379,Season5,ch,2338
380,Season3,danelle,1
381,Season3,jon,27
382,Season5,shireen,1
383,Season5,stiv,4
384,Season2,mero,4
385,Season2,connington,2
386,Season3,frey,379
387,Season3,harpy,1
388,Season4,great,22
389,Season4,maron,1
390,Season4,clegane,1
391,Season5,elissa,3
392,Season3,miller,1
393,Season3,will,351
394,Season5,shae,2
395,Season1,lann,14
396,Season6,ros,137
397,Season1,eddard,8
398,Season2,mag,36
399,Season6,robb,10
400,Season6,alys,7
401,Season4,red,189
402,Season4,locke,2
403,Season5,tommen,5
404,Season3,renly,1
405,Season3,ygritte,12
406,Season6,joffrey,25
407,Season5,orys,1
408,Season3,white,59
409,Season6,otto,13
410,Season4,olly,14
411,Season5,alton,1
412,Season3,tom,54
413,Season3,karl,1
414,Season6,ormund,15
415,Season3,nan,44
416,Season5,wildling,7
417,Season2,moro,4
418,Season3,lem,93
419,Season5,mance,59
420,Season5,child,62
