,TweetDate,_c1
383,20160424,12
384,20141218,1
385,20140327,1
386,20150624,52
387,20130527,46
388,20160425,36
389,20150625,20
390,20130410,18
391,20130528,10
392,20160426,12
393,20150626,16
394,20110927,6
395,20130529,15
396,20160427,76
397,20130411,1
398,20150627,26
399,20110928,28
400,20160310,16
401,20130412,1
402,20160428,1
403,20150628,9
404,20150510,22
405,20110929,8
406,20160429,3
407,20141105,1
408,20150629,5
409,20150511,16
410,20150512,42
411,20130415,294
412,20141107,1
413,20150513,12
414,20130416,148
415,20150514,19
416,20130417,40
417,20160315,15
418,20140218,2
419,20130912,1
420,20150515,28
421,20130418,10
422,20160316,36
423,20140714,1
424,20150516,12
425,20130419,18
426,20160317,24
427,20150517,6
428,20120501,64
429,20160318,33
430,20140716,1
431,20131031,1
432,20150518,1113
433,20110701,10
434,20120502,60
435,20160201,11
436,20160319,19
437,20140717,1
438,20150519,499
439,20110702,16
440,20120503,36
441,20160202,17
442,20130304,1
443,20110703,22
444,20120504,36
445,20160203,5
446,20140601,1
447,20150403,9
448,20110704,28
449,20120505,8
450,20160204,13
451,20140602,7
452,20110705,16
453,20120506,8
454,20160205,10
455,20140603,288
456,20150404,1
457,20130802,1
458,20110706,20
459,20120507,22
460,20160206,8
461,20140604,1
462,20150406,5
463,20110707,28
464,20120508,66
465,20160207,15
466,20140605,30
467,20150407,15
468,20110708,18
469,20120509,44
470,20160208,14
471,20140606,57
472,20150408,38
473,20110709,32
474,20160209,18
475,20140607,12
476,20150409,19
477,20140608,19
478,20151020,3
479,20150905,1
480,20150131,1
481,20130530,23
482,20130531,7
483,20151024,1
484,20150908,1
485,20110930,2
486,20160430,10
487,20151025,1
488,20150630,15
489,20141228,1
490,20141111,2
491,20130420,20
492,20141112,1
493,20130421,17
494,20130422,12
495,20160320,15
496,20150520,159
497,20110821,8
498,20160321,11
499,20150521,36
500,20110822,16
501,20160322,11
502,20140225,1
503,20150522,38
504,20110823,16
505,20160323,12
506,20140721,3
507,20140226,1
508,20150523,28
509,20110824,6
510,20160324,9
511,20130426,1
512,20150524,11
513,20110825,8
514,20160325,23
515,20110826,8
516,20160326,26
517,20150525,2
518,20110827,8
519,20120510,20
520,20130429,232
521,20160327,20
522,20130924,1
523,20150526,3
524,20150527,30
525,20110828,16
526,20110710,2
527,20160210,15
528,20160328,22
529,20150528,22
530,20110829,10
531,20120512,26
532,20160211,7
533,20160329,31
534,20150410,1
535,20150411,28
536,20150529,8
537,20120513,8
538,20160212,70
539,20141006,1
540,20140728,2
541,20130314,1
542,20150412,22
543,20120514,21
544,20160213,13
545,20141007,2
546,20110714,52
547,20120515,44
548,20160214,3
549,20150413,4
550,20150414,3
551,20110715,6
552,20160215,57
553,20130812,1
554,20150415,27
555,20160216,14
556,20140119,1
557,20150416,11
558,20120518,12
559,20160217,7
560,20150911,1
561,20150417,30
562,20120519,34
563,20160218,8
564,20150418,12
565,20110601,8
566,20160219,12
567,20150913,1
568,20140617,17
569,20110602,20
570,20120403,26
571,20150419,1
572,20140618,13
573,20110603,16
574,20120404,38
575,20150915,1
576,20151031,1
577,20140619,14
578,20110604,14
579,20120405,8
580,20140502,49
581,20110605,16
582,20140503,22
583,20120901,1
584,20110606,108
585,20140504,25
586,20160601,5
587,20110607,50
588,20140505,49
589,20160602,1
590,20110608,28
591,20120409,18
592,20140506,66
593,20160603,15
594,20110609,12
595,20160109,5
596,20140507,99
